,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION
43,STAPLES       00107417,VA,"Stationery,OfficeSupplies,Printing/WritingPaper"
44,STAPLES       00107417,VA,"Stationery,OfficeSupplies,Printing/WritingPaper"
45,AKRON BRASS,OH,"IndustrialSupplies,NotElsewhereClassified"
46,BEST BUY      00010926,DC,ElectronicSales
47,AMERICAN SUPPLY COMPAN,DC,InformationRetrievalServices
48,PROFESSIONAL & SCIENTI,VA,"GovernmentServices,NotElsewhereClassified"
49,BUS & LEGAL REPORTS,CT,MiscellaneousPublishingAndPrinting
50,"LABELFORMS, INC",PA,"Stationery,OfficeSupplies,Printing/WritingPaper"
51,FAITH MGMT CONSULTING,DC,"Stationery,Office&SchoolSupplyStores"
52,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
53,AIRGAS EAST,NH,"ChemicalsandAlliedProducts,NotElsewhereClass."
54,LEARNING TREE INTERNAT,VA,"EducationalServices,NotElsewhereClassified"
55,JIMMIE MUSCATELLOS,DC,UniformsandCommercialClothing
56,IDENTICARD SYSTEMS,PA,"DurableGoods,NotElsewhereClassified"
57,POCKETSOLUTIONS COM,NY,TelecommunicationsEquipmentIncl.TelephoneSales
58,EFORCITY.COM,CA,DirectMarketing-CatalogMerchants
59,LAWMEN SUPPLY COMPANY,MD,SpecialtyRetailStores-Miscellaneous
60,ATLANTIC ELECTRIC SUPP,DC,ElectricalPartsAndEquipment
61,USPS 1050050275    QQQ,DC,PostageServices-GovernmentOnly
62,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
63,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
64,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
65,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
66,NEXT DAY GOURMET,VA,"CommercialEquipment,NotElsewhereClassified"
67,BILL ROHRBAUGH'S CHART,MD,"TransportationServices,NotElsewhereClassified"
68,BILL ROHRBAUGH'S CHART,MD,"TransportationServices,NotElsewhereClassified"
69,HUBERT COMPANY,OH,"CommercialEquipment,NotElsewhereClassified"
70,CENTRAL RESTAURANT,IN,"CommercialEquipment,NotElsewhereClassified"
71,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
72,SEARS ROEBUCK   1304,MD,DepartmentStores
73,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
74,FEDEX KINKO'S #0671,DC,"Quick-Copy,ReproductionandBlueprintingServices"
75,FEDEX KINKO'S #0671,DC,"Quick-Copy,ReproductionandBlueprintingServices"
76,SOCIETY FOR HUMAN RESO,VA,"MembershipOrganizations,NotElsewhereClassified"
77,INTERNATIONAL TRANSACTION,,Unknown
78,WWW.NCHSOFTWARE.COM,,ComputerSoftwareStores
79,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
80,HI-TECH ELECTRIC LLC,CA,ElectricalContractors
81,SHEPARD EXPOSITION SER,GA,BusinessServicesNotElsewhereClassified
82,MANAGEMENT CONCEPTS IN,VA,BusinessServicesNotElsewhereClassified
83,BEST BUY MHT  00004861,MD,ElectronicSales
84,COLLIFLOWER INC - 03,MD,BusinessServicesNotElsewhereClassified
85,MATTOS PRO FINISHES 5,MD,AutomotiveServiceShops
86,HP DIRECT-PUBLICSECTOR,NE,DirectMarketing-CatalogMerchants
87,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
88,NOR*NORTHERN TOOL,MN,HardwareStores
89,GO PROMOS,NY,DirectMarketing-NotElsewhereClassified
90,MYCANDYSUPPLIER.COM,MI,"Candy,Nut,ConfectionaryStores"
91,LASER ART INC,DC,"Stationery,Office&SchoolSupplyStores"
92,LEGALINK WASHINGTON,MD,BusinessServicesNotElsewhereClassified
93,S AND H TRUCKING CO.,DC,"FreightCarriers,Trucking-Local/LongDistance"
94,HOODS INSTITUTIONAL FO,DC,"Convenience,Deli,SpecialtyFoodStores"
95,FALCON EXPRESS TRANSPO,MD,"CourierServices-AirOrGround,FreightForwarders"
96,FALCON EXPRESS TRANSPO,MD,"CourierServices-AirOrGround,FreightForwarders"
97,ESI INTERNATIONAL,FL,"EducationalServices,NotElsewhereClassified"
98,BRANCH SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
99,JIMMIE MUSCATELLOS,DC,UniformsandCommercialClothing
100,REITER'S SCIENTIFIC &,DC,"Books,PeriodicalsAndNewspapers"
101,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
102,NATIONAL COUNCIL OF ST,DC,"MembershipOrganizations,NotElsewhereClassified"
103,METRO CNTR TKT OFFICE,DC,Local/SuburbanCommuterTransportation
104,ROSETTA STONE,VA,"EducationalServices,NotElsewhereClassified"
105,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
106,QUEENSTOWN MOTOR-SERVI,MD,Automobile&TruckDealer-New&Used
107,QUEENSTOWN MOTOR-SERVI,MD,Automobile&TruckDealer-New&Used
108,APS MERCHANDISE LLC,MD,MiscellaneousPublishingAndPrinting
109,POSITIVE COACHING ALLI,CA,"MembershipOrganizations,NotElsewhereClassified"
110,AMAZON.COM,WA,BookStores
111,MICROSOFT TECHNET,WA,ElectronicCommerce/InformationServices
112,VERIZON WRLS 0227401,DC,TelecommunicationsEquipmentIncl.TelephoneSales
113,VERIZON WRLS 0227401,DC,TelecommunicationsEquipmentIncl.TelephoneSales
114,CREDIT PROTECTION ASSN,TX,BusinessServicesNotElsewhereClassified
115,MBS DIRECT TEXTBOOKS,MO,"Books,PeriodicalsAndNewspapers"
116,NVCC CONT ED ONLINE,VA,"College,Universities,ProfessionalSchools"
117,SOUTHWEST DISTRIBUTION,DC,"FreightCarriers,Trucking-Local/LongDistance"
118,SOUTHWEST DISTRIBUTION,DC,"FreightCarriers,Trucking-Local/LongDistance"
119,STAPLES DIRECT00209908,CA,"Stationery,OfficeSupplies,Printing/WritingPaper"
120,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
121,STAPLES       00102186,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
122,FEDEX SHP 01/07/09 AB#,TN,"CourierServices-AirOrGround,FreightForwarders"
123,FEDEX SHP 01/07/09 AB#,TN,"CourierServices-AirOrGround,FreightForwarders"
124,QUEENSTOWN MOTOR-SERVI,MD,Automobile&TruckDealer-New&Used
125,BRENTWOOD CLEANERS,DC,DryCleaners
126,STAPLES       00102186,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
127,WW GRAINGER 896,MD,"IndustrialSupplies,NotElsewhereClassified"
128,STAPLES       00115618,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
129,KENDOO TECHNOLOGY,FL,ElectricalPartsAndEquipment
130,MAIN LINE COMM POOLS I,PA,"SwimmingPools-Sales,Service&Supplies"
131,NBF*NATL BIZ FURNITURE,WI,OfficeandCommercialFurniture
132,UNITED    0162186204388,IL,UnitedAirlines
133,UNITED    0164060562639,IL,UnitedAirlines
134,STAPLES       00115329,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
135,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
136,TRINITY II CORPORATION,MD,"Cleaning&Maintenance,JanitorialServices"
137,USPS 1050050275    QQQ,DC,PostageServices-GovernmentOnly
138,SEISINT DBA ACCURIN,FL,DirectMarketing-Continuity/SubscriptionMerchants
139,THE WASHINGTON TIMES -,DC,NewsDealers&Newsstands
140,WMATA METRO CENTER BUL,DC,Local/SuburbanCommuterTransportation
141,CICDC,CA,CharitableAndSocialServiceOrganizations
142,CICDC,CA,CharitableAndSocialServiceOrganizations
143,AMERICANS FOR THE ARTS,DC,BookStores
144,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
145,MANAGEMENT CONCEPTS IN,VA,BusinessServicesNotElsewhereClassified
146,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
147,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
148,MARYLAND FIRE EQUIPMEN,MD,"IndustrialSupplies,NotElsewhereClassified"
149,THE SIGN SHOP,MD,"Quick-Copy,ReproductionandBlueprintingServices"
150,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
151,THURMAN S GLASS INC,DC,"Glass,Paint,WallpaperStores"
152,NTL REGISTRY OF EMTS,OH,DirectMarketing-CatalogMerchants
153,ABLE REPORTING,MD,ProfessionalServicesNotElsewhereDefined
154,STAPLES DIRECT00209908,CA,"Stationery,OfficeSupplies,Printing/WritingPaper"
155,INTERNATIONAL ASSOCIAT,VA,"MembershipOrganizations,NotElsewhereClassified"
156,FASTSIGNS,DC,"DurableGoods,NotElsewhereClassified"
157,"AJ STATIONERS OF D.C.,",DC,OfficeandCommercialFurniture
158,LABSAFE*1012718109,WI,GeneralMerchandise
159,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
160,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
161,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
162,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
163,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
164,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
165,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
166,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
167,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
168,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
169,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
170,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
171,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
172,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
173,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
174,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
175,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
176,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
177,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
178,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
179,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
180,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
181,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
182,DOCUMENT MANAGERS,DC,"Office,Photographic,Photocopy,andMicrofilmEquip"
183,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
184,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
185,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
186,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
187,PRESSTEK,NH,"CommercialPhotography,Art&Graphics"
188,AMERICAN ASSOC00 OF 00,VA,CharitableAndSocialServiceOrganizations
189,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
190,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
191,AWL*PRENTICE HALL,NJ,DirectMarketing-NotElsewhereClassified
192,DC POST SECONDARY EDUC,DC,"College,Universities,ProfessionalSchools"
193,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
194,"TOUCAN BUSINESS FORMS,",MD,"IndustrialSupplies,NotElsewhereClassified"
195,JIMMIE MUSCATELLOS,DC,UniformsandCommercialClothing
196,CTX AP270301LMRJ5Q09,IL,TravelAgenciesandTourOperators
197,"TOUCAN BUSINESS FORMS,",MD,"IndustrialSupplies,NotElsewhereClassified"
198,PATCH RUBBER,NC,"IndustrialSupplies,NotElsewhereClassified"
199,WW GRAINGER 898,MD,"IndustrialSupplies,NotElsewhereClassified"
200,LASER ART INC,DC,"Stationery,Office&SchoolSupplyStores"
201,DATA CONVERSIONS COM,NJ,BusinessServicesNotElsewhereClassified
202,USPTO,VA,"GovernmentServices,NotElsewhereClassified"
203,USPTO,VA,"GovernmentServices,NotElsewhereClassified"
204,IKEA COLLEGE PARK,MD,"Furniture,HomeFurnishingsAndEquipmentStores"
205,IKEA COLLEGE PARK,MD,"Furniture,HomeFurnishingsAndEquipmentStores"
206,KORMAN SIGNS INC,VA,"DurableGoods,NotElsewhereClassified"
207,PATCH RUBBER,NC,"IndustrialSupplies,NotElsewhereClassified"
208,"TIDEWATER, INC.",MD,SpecialtyRetailStores-Miscellaneous
209,CHILL INTERNATIONAL,FL,GeneralMerchandise
210,BLUE BOY PRINTING CORP,DC,MiscellaneousPublishingAndPrinting
211,BLUE BOY PRINTING CORP,DC,MiscellaneousPublishingAndPrinting
212,ATLANTIC ELECTRIC SUPP,DC,ElectricalPartsAndEquipment
213,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
214,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
215,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
216,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
217,U-STORE WASHINGTON,DC,"FreightCarriers,Trucking-Local/LongDistance"
218,U-STORE WASHINGTON,DC,"FreightCarriers,Trucking-Local/LongDistance"
219,U-STORE WASHINGTON,DC,"FreightCarriers,Trucking-Local/LongDistance"
220,CDW GOVERNMENT,CA,DirectMarketing-CatalogMerchants
221,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
222,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
223,THE WASHINGTON TIMES -,DC,NewsDealers&Newsstands
224,LASER ART INC,DC,"Stationery,Office&SchoolSupplyStores"
225,UFIRST *UNIFIRST CORP,MA,"ClothingRental-Costumes,FormalWear,Uniforms"
226,IRON MOUNTAIN,MA,BusinessServicesNotElsewhereClassified
227,HMCO ECMMRCE* BOOKS,IL,DirectMarketing-NotElsewhereClassified
228,JIFFY JOHN INC,MD,"PersonalServices,NotElsewhereClassified"
229,"TOUCAN BUSINESS FORMS,",MD,"IndustrialSupplies,NotElsewhereClassified"
230,COLLIFLOWER INC - 03,MD,BusinessServicesNotElsewhereClassified
231,POTOMAC TRUCK CENTER,MD,Automobile&TruckDealer-New&Used
232,HERSON'S HONDA,MD,Automobile&TruckDealer-New&Used
233,APL*APPLEONLINESTOREUS,CA,ComputerSoftwareStores
234,ALM-AMER LAWER MEDIA,NY,DirectMarketing-Continuity/SubscriptionMerchants
235,"ABA,DUES,EVENTS,PRODUC",IL,ProfessionalServicesNotElsewhereDefined
236,DUPONT COMPUTER INC,DC,ComputerSoftwareStores
237,DUPONT COMPUTER INC,DC,ComputerSoftwareStores
238,DUPONT COMPUTER INC,DC,ComputerSoftwareStores
239,W.S. JENKS & SON,DC,AirConditioning&RefrigerationRepairShops
240,"PAIGE INTERNATIONAL, I",DC,"Computers,ComputerPeripheralEquipment,Software"
241,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
242,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
243,LEARNING TREE INTERNAT,VA,"EducationalServices,NotElsewhereClassified"
244,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
245,DISPLAYS 2 GO,RI,"DurableGoods,NotElsewhereClassified"
246,RONCOM PHOTO SUPPLY IN,DC,PhotographicStudios
247,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
248,JIMMIE MUSCATELLOS,DC,UniformsandCommercialClothing
249,ATLANTIC ELECTRIC SUPP,DC,ElectricalPartsAndEquipment
250,EXECUTIVE CONTRACTORS,DC,"GenlContractors-Residential,andCommercial"
251,HOBART CORP DC,MD,"CommercialEquipment,NotElsewhereClassified"
252,J E S ELECTRIC SERVICE,DC,ElectricalContractors
253,EXECUTIVE CONTRACTORS,DC,"GenlContractors-Residential,andCommercial"
254,USPTO,VA,"GovernmentServices,NotElsewhereClassified"
255,MARVIN T JONES AND ASS,DC,PhotographicStudios
256,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
257,GAITHERSBURG EQUIPMENT,MD,"CommercialEquipment,NotElsewhereClassified"
258,COURTS/USDC-MD-PG,MD,"GovernmentServices,NotElsewhereClassified"
259,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
260,AMSTERDAM PRNT & LITHO,NY,DirectMarketing-NotElsewhereClassified
261,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
262,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
263,THE HOME DEPOT 2552,MD,HomeSupplyWarehouseStores
264,ALLMED,MO,"Lab,Medical,Dental,Opthalmic,HospEquip&Supplies"
265,ACTON MOBILE INDUSTRIE,MD,"SpecialTradeContractors,NotElsewhereClassified"
266,ACTON MOBILE INDUSTRIE,MD,"SpecialTradeContractors,NotElsewhereClassified"
267,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
268,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
269,CDW GOVERNMENT,CA,DirectMarketing-CatalogMerchants
270,DUPONT COMPUTER INC,DC,ComputerSoftwareStores
271,DUPONT COMPUTER INC,DC,ComputerSoftwareStores
272,PAYPAL *NONPROFITRO,CA,ProfessionalServicesNotElsewhereDefined
273,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
274,CENTRAL SAFE AND LOCKS,DC,BusinessServicesNotElsewhereClassified
275,CHECKWRITER COMPANY,VA,DirectMarketing-NotElsewhereClassified
276,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
277,INTERNATION,AR,ProfessionalServicesNotElsewhereDefined
278,INTERNATION,AR,ProfessionalServicesNotElsewhereDefined
279,AMZ*AMAZON PAYMENTS,WA,BookStores
280,SEMINARS NAT'L/PADGETT,KS,"EducationalServices,NotElsewhereClassified"
281,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
282,CURRENT NEWSPAPERS VOI,DC,AdvertisingServices
283,"BAUDVILLE, INC",MI,SpecialtyRetailStores-Miscellaneous
284,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
285,STAPLES       00102186,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
286,STAPLES       00102186,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
287,STAPLES       00102186,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
288,PITNEY BOWES SUPPLY,CT,BusinessServicesNotElsewhereClassified
289,OVERHEAD DOOR CO OF WA,MD,"SpecialTradeContractors,NotElsewhereClassified"
290,DMI* DELL K-12/GOVT,TX,"Computers,ComputerPeripheralEquipment,Software"
291,NATIONALDAT,CA,ProfessionalServicesNotElsewhereDefined
292,MEDTRONIC EMERGENCY RE,WA,"Lab,Medical,Dental,Opthalmic,HospEquip&Supplies"
293,STAR VENDING INC,DC,SpecialtyRetailStores-Miscellaneous
294,MURRY'S 8023#      SAE,DC,"GroceryStores,Supermarkets"
295,"TOUCAN BUSINESS FORMS,",MD,"IndustrialSupplies,NotElsewhereClassified"
296,LAWSON PRODUCTS,IL,HardwareEquipmentAndSupplies
297,LAWSON PRODUCTS,IL,HardwareEquipmentAndSupplies
298,J E S ELECTRIC SERVICE,DC,ElectricalContractors
299,IKEA COLLEGE PARK,MD,"Furniture,HomeFurnishingsAndEquipmentStores"
300,DAVID HOCKSTEIN & ASSO,MD,"ConstructionMaterials,NotElsewhereClassified"
301,AMERICAN COUNCIL ON EX,CA,"EducationalServices,NotElsewhereClassified"
302,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
303,BRENTWORKS INC,DC,"CommercialPhotography,Art&Graphics"
304,BRENTWORKS INC,DC,"CommercialPhotography,Art&Graphics"
305,AMAZON.COM,WA,BookStores
306,THE R F CONNECTION,MD,ElectronicSales
307,CASTELLANOS ANIMAL,MD,VeterinaryServices
308,GSA/FAS,VA,"GovernmentServices,NotElsewhereClassified"
309,EAGLE MAT AND FLOOR PR,MD,FloorCoveringStores
310,COMMITTEE FOR CHILDREN,WA,CharitableAndSocialServiceOrganizations
311,USPS 1050050113    QQQ,DC,PostageServices-GovernmentOnly
312,FORESTER COM8056821300,CA,AdvertisingServices
313,J&R SOUND/MAILORDER,NY,DirectMarketing-CatalogMerchants
314,FEDEX KINKO'S #0671,DC,"Quick-Copy,ReproductionandBlueprintingServices"
315,FRANKLINCOVEYPRODUCTS,UT,"Stationery,Office&SchoolSupplyStores"
316,THE HAPPY CHEF INC,NJ,GeneralMerchandise
317,HUBERT COMPANY,OH,"CommercialEquipment,NotElsewhereClassified"
318,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
319,STAPLES DIRECT00209908,CA,"Stationery,OfficeSupplies,Printing/WritingPaper"
320,J E S ELECTRIC SERVICE,DC,ElectricalContractors
321,DELTA,GA,Delta
322,AMAZON.COM,WA,BookStores
323,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
324,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
325,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
326,BALLOONS TOMORROW,IA,SpecialtyRetailStores-Miscellaneous
327,CAPITAL SELF STORAGE,MD,BusinessServicesNotElsewhereClassified
328,CAPITAL SELF STORAGE,MD,BusinessServicesNotElsewhereClassified
329,NFPA NATL FIRE PROTECT,MA,DirectMarketing-NotElsewhereClassified
330,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
331,"NEAL R. GROSS & CO., I",DC,BusinessServicesNotElsewhereClassified
332,DS WATERS,GA,SpecialtyRetailStores-Miscellaneous
333,AMBASSADOR LOCK CO,MD,BusinessServicesNotElsewhereClassified
334,DATAWATCH SYSTEMS INC,MD,BusinessServicesNotElsewhereClassified
335,INTL SOC ARBORICULTURE,IL,"EducationalServices,NotElsewhereClassified"
336,HERSON'S HONDA,MD,Automobile&TruckDealer-New&Used
337,AIRTRANAI 33200597985240,GA,MesabaAviation
338,ORB AP270101TR97PM09,IL,TravelAgenciesandTourOperators
339,GALLIHER & HUGUELY ASS,DC,Lumber&BuildingMaterialsStores
340,FURNITURE EQUIPMENT&SU,DC,OfficeandCommercialFurniture
341,GSA/FAS,VA,"GovernmentServices,NotElsewhereClassified"
342,GSA/FAS,VA,"GovernmentServices,NotElsewhereClassified"
343,GSA/FAS,VA,"GovernmentServices,NotElsewhereClassified"
344,DELL SALES & SERVICE,TX,BusinessServicesNotElsewhereClassified
345,STAPLES       00102186,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
346,TONER EXPRESS USA INC,MD,GeneralMerchandise
347,THE BIG BAD WOOF,DC,SpecialtyRetailStores-Miscellaneous
348,THE BIG BAD WOOF,DC,SpecialtyRetailStores-Miscellaneous
349,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
350,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
351,DDB UNLIMITED INC,OK,"SpecialTradeContractors,NotElsewhereClassified"
352,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
353,NORTHWEST RIVER SUPPLI,ID,SportingGoodsStores
354,NORTHWEST RIVER SUPPLI,ID,SportingGoodsStores
355,NATIONAL NETWORK FOR Y,DC,CharitableAndSocialServiceOrganizations
356,WW GRAINGER 897,VA,"IndustrialSupplies,NotElsewhereClassified"
357,RENTALS UNLIMITED - ST,VA,"Rentals-Tools,EquipmentandFurniture"
